mz_rt,control,red,FC_red_div_ctrl,p,log2_FC_red_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
151.0261_0.612,1431.258884555328,1078.2117370588082,0.7533310351423904,0.0324,-0.4086441293113133,1.489454989793388,151.0261,0.612,1292.0005,151.0261_0.612,151.0261_0.612,1
895.6211_9.665,8352.846673150307,7209.594346797297,0.863130215232141,0.0423,-0.21234986839364303,1.3736596326249577,895.6211,9.665,6702.7407,895.6211_9.665,895.6211_9.665,1
