mz_rt,beta,red,FC_beta_div_red,p,log2_FC_beta_div_red,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
297.1527_2.281,4639.1464307014885,3687.6600941362094,1.2580189909797403,0.0112,0.3311537012199774,1.9507819773298183,297.1527,2.281,4408.665,297.1527_2.281,297.1527_2.281,1
311.1683_2.682,11773.354175966071,9916.559959836417,1.1872417676744713,0.0149,0.24761375259432,1.826813731587726,311.1683,2.682,10595.252,311.1683_2.682,311.1683_2.682,1
820.5155_3.079,2867.9697244241424,2286.8422322610977,1.254117876591976,0.00639,0.3266729557813575,2.1944991418415998,820.5155,3.079,2653.961,Cluster_820.5155_3.079,1315.8467_3.079;820.5155_3.079,2
830.5005_2.723,1527.2886572477591,1218.231346425363,1.253693448070646,0.0437,0.326184624842934,1.359518563029578,830.5005,2.723,1526.7637,830.5005_2.723,830.5005_2.723,1
