mz_rt,control,red,FC_red_div_ctrl,p,log2_FC_red_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
244.908_0.706,22793.541329908945,36257.25766790856,1.5906811996928694,0.00239,0.6696447233444984,2.6216020990518625,244.908,0.706,27725.105,Cluster_244.908_0.706,244.908_0.706;246.9051_0.707,2
605.4051_5.422,5640.198477171562,7825.88818133273,1.3875199982780115,0.0259,0.4725085651265961,1.586700235918748,605.4051,5.422,6937.227,605.4051_5.422,605.4051_5.422,1
705.5178_5.308,7029.070106253227,8484.879316951155,1.2071126320681886,0.0464,0.27156029593144587,1.3334820194451191,705.5178,5.308,7016.681,705.5178_5.308,705.5178_5.308,1
711.5035_5.685,9156.050093274833,10738.5997956772,1.1728419663807605,0.0211,0.23000863171379274,1.6757175447023074,711.5035,5.685,9561.429,711.5035_5.685,711.5035_5.685,1
860.6369_10.19,4512.648207609338,5616.107684830114,1.244525925012301,0.0475,0.31559628375174525,1.3233063903751334,860.6369,10.19,4901.925,860.6369_10.19,860.6369_10.19,1
