mz_rt,control,tomato,FC_tom_div_ctrl,p,log2_FC_tom_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
244.908_0.706,22793.541329908945,31766.31474431591,1.3936542060111206,0.00931,0.47887264358914483,2.0310503190186573,244.908,0.706,27725.105,Cluster_244.908_0.706,244.908_0.706;246.9051_0.707,2
605.4051_5.422,5640.198477171562,8285.780556372285,1.4690583301117135,0.0203,0.5548916803681273,1.6925039620867872,605.4051,5.422,6937.227,605.4051_5.422,605.4051_5.422,1
