mz_rt,control,tomato,FC_tom_div_ctrl,p,log2_FC_tom_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1644.3337_9.984,5063.597414404786,4269.876843417258,0.8432496689548081,0.00424,-0.2459682480208954,2.3726341434072675,1644.3337,9.984,4622.48,1644.3337_9.984,1644.3337_9.984,1
869.598_7.834,8828.998937906419,7662.786352801432,0.8679111195610217,0.048,-0.20438078716464864,1.3187587626244128,869.598,7.834,7589.619,869.598_7.834,869.598_7.834,1
895.6211_9.665,8352.846673150307,7109.871287729067,0.8511914040734514,0.0103,-0.2324445133189621,1.9871627752948278,895.6211,9.665,6702.7407,895.6211_9.665,895.6211_9.665,1
911.6459_9.666,15127.17117844115,13144.025381779378,0.8689017415570666,0.0392,-0.2027350536166511,1.4067139329795428,911.6459,9.666,13573.062,Cluster_911.6459_9.666,911.6459_9.666;911.646_9.667,2
