row ID,row m/z,row retention time,5101-b1-control_c18neg_82.mzML Peak height,5105-b3-lyc_c18neg_21.mzML Peak height,5112-b1-beta_c18neg_34.mzML Peak height,5107-b1-beta_c18neg_29.mzML Peak height,5105-b1-lyc_c18neg_76.mzML Peak height,5102-b1-control_c18neg_5.mzML Peak height,5101-b3-control_c18neg_66.mzML Peak height,5103-b1-lyc_c18neg_35.mzML Peak height,5104-b3-lyc_c18neg_32.mzML Peak height,5109-b3-beta_c18neg_81.mzML Peak height,5104-b1-lyc_c18neg_10.mzML Peak height,5108-b1-control_c18neg_71.mzML Peak height,5113-b3-beta_c18neg_47.mzML Peak height,5111-b1-control_c18neg_4.mzML Peak height,5109-b1-beta_c18neg_65.mzML Peak height,5111-b3-control_c18neg_39.mzML Peak height,5110-b1-lyc_c18neg_59.mzML Peak height,5102-b3-control_c18neg_33.mzML Peak height,5108-b3-control_c18neg_22.mzML Peak height,5103-b3-lyc_c18neg_63.mzML Peak height,5107-b3-beta_c18neg_28.mzML Peak height,5112-b3-beta_c18neg_56.mzML Peak height,5113-b1-beta_c18neg_53.mzML Peak height,5110-b3-lyc_c18neg_84.mzML Peak height,5114-b1-beta_c18neg_26.mzML Peak height,5114-b3-beta_c18neg_23.mzML Peak height,5122-b3-lyc_c18neg_75.mzML Peak height,5124-b3-control_c18neg_68.mzML Peak height,5117-b3-lyc_c18neg_2.mzML Peak height,5120-b1-beta_c18neg_72.mzML Peak height,5115-b1-lyc_c18neg_36.mzML Peak height,5125-b3-control_c18neg_51.mzML Peak height,5116-b3-control_c18neg_20.mzML Peak height,5126-b3-beta_c18neg_24.mzML Peak height,5118-b3-lyc_c18neg_9.mzML Peak height,5117-b1-lyc_c18neg_46.mzML Peak height,5123-b3-control_c18neg_40.mzML Peak height,5115-b3-lyc_c18neg_70.mzML Peak height,5122-b1-lyc_c18neg_14.mzML Peak height,5125-b1-control_c18neg_80.mzML Peak height,5123-b1-control_c18neg_11.mzML Peak height,5116-b1-control_c18neg_6.mzML Peak height,5120-b3-beta_c18neg_54.mzML Peak height,5121-b1-beta_c18neg_69.mzML Peak height,5121-b3-beta_c18neg_48.mzML Peak height,5118-b1-lyc_c18neg_57.mzML Peak height,5124-b1-control_c18neg_45.mzML Peak height,5119-b3-control_c18neg_58.mzML Peak height,5119-b1-control_c18neg_74.mzML Peak height,5127-b1-control_c18neg_30.mzML Peak height,PB2_c18neg_3.mzML Peak height,PB3_c18neg_4.mzML Peak height,PB1_c18neg_2.mzML Peak height,5131-b1-beta_c18neg_38.mzML Peak height,5135-b1-lyc_c18neg_12.mzML Peak height,5129-b3-lyc_c18neg_16.mzML Peak height,5131-b3-beta_c18neg_3.mzML Peak height,5134-b3-beta_c18neg_64.mzML Peak height,5133-b3-control_c18neg_15.mzML Peak height,5127-b3-control_c18neg_83.mzML Peak height,5126-b1-beta_c18neg_62.mzML Peak height,5136-b1-beta_c18neg_44.mzML Peak height,5133-b1-control_c18neg_27.mzML Peak height,5134-b1-beta_c18neg_42.mzML Peak height,5135-b3-lyc_c18neg_18.mzML Peak height,5128-b1-lyc_c18neg_8.mzML Peak height,5128-b3-lyc_c18neg_60.mzML Peak height,5136-b3-beta_c18neg_77.mzML Peak height,5132-b1-beta_c18neg_41.mzML Peak height,5132-b3-beta_c18neg_52.mzML Peak height,5129-b1-lyc_c18neg_78.mzML Peak height,5130-b3-lyc_c18neg_50.mzML Peak height,5130-b1-lyc_c18neg_17.mzML Peak height,QC2_c18neg_7.mzML Peak height,QC1_c18neg_1.mzML Peak height,QC3_c18neg_13.mzML Peak height,QC4_c18neg_19.mzML Peak height,QC5_c18neg_25.mzML Peak height,QC7_c18neg_37.mzML Peak height,QC8_c18neg_43.mzML Peak height,QC6_c18neg_31.mzML Peak height,QC14_c18neg_79.mzML Peak height,QC13_c18neg_73.mzML Peak height,QC12_c18neg_67.mzML Peak height,QC10_c18neg_55.mzML Peak height,QC15_c18neg_85.mzML Peak height,QC11_c18neg_61.mzML Peak height,QC9_c18neg_49.mzML Peak height,
1481,721.1462998064892,4.7884927,1111.2047,1241.3599,0,1047.7882,1534.3967,2612.786,1091.1575,1387.201,1059.078,1611.3052,2283.7422,1253.3152,1925.0414,1699.7733,1481.0571,1299.6735,1162.5162,1040.3235,2333.3772,1149.2527,1903.1865,1034.5009,2092.443,2947.133,1252.4913,1095.1039,2067.608,2388.4246,1144.1976,1548.0957,0,1808.9745,1121.4601,1114.7639,2065.6497,1264.1361,2223.8823,3958.638,1458.1617,1250.0254,1222.3466,0,1796.0065,1309.6178,1040.4341,1271.022,1110.7714,1260.9075,2402.6199,1177.7788,0,0,0,1053.6069,1433.4572,1760.4362,2224.2434,1303.2717,2603.6123,1128.337,1557.9906,1159.8823,1529.1082,1610.0182,1229.1067,1210.7544,2214.9866,2256.5637,1548.5735,1982.8256,1343.3704,1686.9304,1125.1855,3160.4958,48069.668,1186.3696,0,1339.5975,1516.2784,1502.3923,1494.0189,1322.2968,1150.0405,1427.9899,1194.1211,1955.3956,1551.4675,1325.1305,
1482,729.1767655917844,4.787098,1859.5869,1323.8451,1476.5565,1264.1498,1610.8535,2817.9932,1654.4065,1590.6296,1555.3356,1672.8691,3521.2268,1443.4633,2332.1138,1977.9006,2563.6978,1918.6782,1769.651,1392.2045,1894.3264,1690.4976,1338.809,1788.5901,2416.9683,2777.1428,1697.1329,1244.1245,3154.4302,2774.1023,1353.5063,2343.3552,1568.1433,1978.634,1383.0056,1510.7351,3160.4033,1510.7126,2313.6782,5397.111,1248.0085,1931.6052,2085.6702,1671.8243,2711.9607,2533.6326,1918.5858,1926.6409,1689.2457,2249.7737,2887.1724,1570.2699,0,1291.8268,1206.4875,1639.4884,1704.369,2306.0957,4236.798,1799.5558,4015.7595,1693.7167,1324.5352,1646.9048,1493.4451,1347.7664,1760.0792,1863.5503,2878.8594,2447.8364,2236.5044,2032.792,1904.241,2103.8833,1560.6902,2844.041,82212.43,1471.6957,2034.1737,1169.1901,1930.0944,1700.7268,1296.2814,1928.0626,1494.5831,2253.3196,2092.4714,3268.1191,1938.2266,1417.3062,
1487,810.033701847983,4.7942657,1231.4546,0,0,1023.7162,1227.1094,1101.9788,1180.2562,1272.9233,0,0,1181.7301,1047.8932,1189.1154,1207.04,1301.3895,0,0,0,1141.987,1375.7532,0,1309.5941,1268.2032,1162.0836,1075.2272,0,0,0,0,1236.4453,0,1068.5026,1081.1296,0,1444.66,0,1453.025,1608.2754,1293.4116,0,0,1121.6462,1120.3674,1290.1006,1111.9841,0,1192.0183,1225.6187,1604.3605,1060.6705,1118.2856,1073.3888,1645.2656,1295.058,1080.9186,1049.5596,1118.9568,1037.0774,1223.8047,0,0,0,1144.2964,1067.4353,0,1035.5151,1414.0278,1421.7853,1003.449,1168.5176,1095.2545,1161.7742,1484.5609,1650.15,10900.245,1030.6775,1050.3954,1127.3357,1138.3792,1372.3165,1565.4144,1538.6676,1162.7123,0,1041.1038,1183.381,1109.6381,1277.0718,
1490,719.1478477588571,4.7919497,1705.0288,1541.5846,1296.0,1563.4297,2023.375,3190.8164,1880.9077,1600.8529,1196.3888,1306.9623,2561.0234,1702.3782,2256.6597,1846.8773,1911.2178,2871.385,2546.1821,1226.2512,1629.0817,1608.856,1393.1321,1196.7114,1847.8579,2449.0007,1649.0361,1731.2727,3223.8367,1859.9762,1813.135,1528.4519,1333.4446,2088.7874,1829.2594,1321.4331,2612.1287,1601.0048,2027.001,5409.8286,1452.0006,1380.2911,1334.5448,1338.7781,1811.4719,2317.4888,1225.6785,2109.487,1204.0751,2246.5413,2905.7441,1370.036,0,1107.1602,1786.7579,1730.3284,1337.3708,2918.0908,3108.7659,1641.6947,2734.295,1120.4468,1350.3403,2047.6465,1493.753,1960.1024,1382.9592,2512.346,2168.191,2674.7368,1625.138,2483.0417,2044.9086,1872.6962,1361.3661,2459.9714,61743.387,1394.129,1689.7487,1435.6903,1899.5311,1795.5103,1546.835,2418.2407,1881.2283,1967.3005,1450.3496,2064.087,1546.9849,1548.6494,
1500,731.1761751673914,4.7913547,1399.15,1090.6228,1015.6928,1292.3634,1003.95483,1822.3079,1054.8895,1453.9548,0,1030.4327,2221.9302,0,1945.3788,1270.8918,1328.8937,1327.1228,0,0,1295.879,0,1017.0249,0,1881.2091,1983.9563,1239.1011,0,1595.9613,1223.238,0,1361.0519,0,1887.6276,0,0,1866.541,1112.5623,1137.4106,3322.7551,0,1698.2793,0,0,1317.6718,1252.2854,0,1592.2766,0,1197.835,1793.5016,1011.6365,0,0,0,0,1207.3254,1418.2617,1740.9266,1016.3264,1735.2532,1245.5199,0,1199.3606,0,1000.9773,1261.6436,0,1107.9175,2453.526,1116.3632,1319.0325,1485.6278,1197.7429,0,1598.5801,38398.125,0,0,1008.00037,1291.5345,1271.8643,1234.5419,1145.5795,1721.2872,1333.1217,0,1820.1354,1043.3986,0,
1501,746.1644814529375,4.7929916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053.1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7237.116,0,0,0,0,0,0,0,0,0,0,0,0,0,
1506,866.5578688592261,4.799567,0,0,0,0,0,0,0,0,0,0,11605.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1509,551.3582093501533,4.841364,1659.1428,22624.14,7189.8623,2909.633,4419.6157,3197.6055,27880.17,6450.0522,19633.62,18963.234,1981.907,6360.652,24765.479,3951.3474,1019.30505,44442.543,8966.4375,31647.691,14793.078,25653.71,31828.244,21832.287,13546.935,20685.97,9831.409,29459.691,25100.176,24186.59,39542.31,5539.2827,31601.576,18784.494,13957.256,19083.227,23075.096,18087.775,23648.088,82779.56,2066.0024,8205.08,4281.6196,2648.7678,29451.83,4038.247,43274.453,3546.6128,1980.0073,23134.793,6495.191,5041.045,0,0,0,3995.214,58481.31,18690.566,26345.629,18881.293,30018.553,32828.914,2632.9204,4841.2466,10551.363,2680.3284,62650.254,2645.482,9495.125,34498.035,4356.138,75173.53,1753.8203,26411.477,21520.39,18672.342,18360.81,19902.389,19585.492,20349.174,20252.793,18850.46,18811.266,21956.121,19286.863,20401.182,19055.8,20129.148,21749.916,19215.605,
1514,573.4515455748849,4.8731294,5616.502,10413.265,5242.9346,3518.3408,23782.04,9910.778,3711.3108,17363.273,6620.7397,4254.5615,13940.149,4064.5012,6860.8374,9007.482,4003.3262,5506.5674,11254.513,4762.859,3721.2188,6313.0073,3645.2952,4759.2373,12367.23,7158.1665,2787.0483,2844.2678,4163.9424,3872.532,5852.7466,2985.8262,6579.5,4129.1313,5029.4736,3993.133,3753.2617,7323.9644,5388.586,4164.847,4169.5293,5830.302,7974.6274,9960.637,3936.8938,8346.798,4564.567,4592.0796,3215.9941,3466.4912,3767.3264,13776.797,0,0,0,5901.1426,4266.516,4190.989,4523.76,3827.096,4252.8496,6881.7886,4117.518,5750.3564,6136.165,3193.1597,4069.3772,4817.436,3077.962,3451.0835,9042.914,4377.6597,5791.273,2898.754,5087.4062,5493.682,5757.061,6419.2295,5279.0977,6363.222,4808.1387,6001.616,5410.6753,5354.5474,5815.9414,5257.3853,4845.5796,6100.5684,6288.7393,5358.4707,
1519,561.3787228955637,4.9077053,8191.66,4700.126,6759.638,5284.0034,5280.6436,15121.681,12174.577,12698.862,6034.9727,4202.113,8068.81,9148.791,6890.528,15359.992,3663.7568,13622.261,6710.3447,13865.85,6749.8184,14881.142,5554.0,8956.282,5735.0967,8102.5503,4765.001,6918.031,7333.095,15789.482,7549.1895,21473.012,6452.091,5921.115,10357.007,7490.6255,6686.889,6880.1665,9444.039,7531.5044,7366.1367,6571.804,8612.144,11039.971,24329.643,8932.385,8405.081,6835.356,13593.024,7886.085,5633.261,16981.865,0,0,0,6445.919,13296.034,12792.507,5229.18,9814.09,12365.872,13019.718,6605.038,11698.135,12189.292,8820.65,12556.034,7539.7207,7017.4614,11606.33,8358.109,7510.4717,10638.576,10546.373,11044.22,9242.223,11239.095,9049.187,9644.285,9787.281,9005.265,9802.051,9313.797,8722.729,8757.472,11036.041,8987.734,10917.672,11016.107,11060.041,
