row ID,row m/z,row retention time,5109-b1-beta_c18pos_65.mzML Peak height,5101-b1-control_c18pos_82.mzML Peak height,5109-b3-beta_c18pos_81.mzML Peak height,5103-b3-lyc_c18pos_63.mzML Peak height,5108-b1-control_c18pos_71.mzML Peak height,5113-b1-beta_c18pos_53.mzML Peak height,5112-b3-beta_c18pos_56.mzML Peak height,5105-b1-lyc_c18pos_76.mzML Peak height,5110-b3-lyc_c18pos_84.mzML Peak height,5110-b1-lyc_c18pos_59.mzML Peak height,5101-b3-control_c18pos_66.mzML Peak height,5113-b3-beta_c18pos_47.mzML Peak height,5103-b1-lyc_c18pos_35.mzML Peak height,5104-b3-lyc_c18pos_32.mzML Peak height,5112-b1-beta_c18pos_34.mzML Peak height,5107-b3-beta_c18pos_28.mzML Peak height,5107-b1-beta_c18pos_29.mzML Peak height,5102-b3-control_c18pos_33.mzML Peak height,5111-b3-control_c18pos_39.mzML Peak height,5105-b3-lyc_c18pos_21.mzML Peak height,5108-b3-control_c18pos_22.mzML Peak height,5102-b1-control_c18pos_5.mzML Peak height,5111-b1-control_c18pos_4.mzML Peak height,5104-b1-lyc_c18pos_10.mzML Peak height,5115-b3-lyc_c18pos_70.mzML Peak height,5115-b1-lyc_c18pos_36.mzML Peak height,5125-b1-control_c18pos_80.mzML Peak height,5118-b1-lyc_c18pos_57.mzML Peak height,5121-b1-beta_c18pos_69.mzML Peak height,5119-b1-control_c18pos_74.mzML Peak height,5122-b3-lyc_c18pos_75.mzML Peak height,5117-b1-lyc_c18pos_46.mzML Peak height,5114-b3-beta_c18pos_23.mzML Peak height,5124-b3-control_c18pos_68.mzML Peak height,5125-b3-control_c18pos_51.mzML Peak height,5114-b1-beta_c18pos_26.mzML Peak height,5120-b1-beta_c18pos_72.mzML Peak height,5119-b3-control_c18pos_58.mzML Peak height,5121-b3-beta_c18pos_48.mzML Peak height,5116-b3-control_c18pos_20.mzML Peak height,5126-b1-beta_c18pos_62.mzML Peak height,5123-b3-control_c18pos_40.mzML Peak height,5116-b1-control_c18pos_6.mzML Peak height,5124-b1-control_c18pos_45.mzML Peak height,5117-b3-lyc_c18pos_2.mzML Peak height,5122-b1-lyc_c18pos_14.mzML Peak height,5118-b3-lyc_c18pos_9.mzML Peak height,5123-b1-control_c18pos_11.mzML Peak height,5120-b3-beta_c18pos_54.mzML Peak height,5127-b3-control_c18pos_83.mzML Peak height,5129-b1-lyc_c18pos_78.mzML Peak height,5128-b3-lyc_c18pos_60.mzML Peak height,5134-b3-beta_c18pos_64.mzML Peak height,5136-b3-beta_c18pos_77.mzML Peak height,5127-b1-control_c18pos_30.mzML Peak height,PB1_c18pos_2.mzML Peak height,5132-b3-beta_c18pos_52.mzML Peak height,5130-b3-lyc_c18pos_50.mzML Peak height,5131-b1-beta_c18pos_38.mzML Peak height,5126-b3-beta_c18pos_24.mzML Peak height,5129-b3-lyc_c18pos_16.mzML Peak height,5134-b1-beta_c18pos_42.mzML Peak height,5132-b1-beta_c18pos_41.mzML Peak height,5133-b1-control_c18pos_27.mzML Peak height,5136-b1-beta_c18pos_44.mzML Peak height,5130-b1-lyc_c18pos_17.mzML Peak height,5128-b1-lyc_c18pos_8.mzML Peak height,5135-b3-lyc_c18pos_18.mzML Peak height,5133-b3-control_c18pos_15.mzML Peak height,5131-b3-beta_c18pos_3.mzML Peak height,5135-b1-lyc_c18pos_12.mzML Peak height,QC3_c18pos_13.mzML Peak height,QC2_c18pos_7.mzML Peak height,PB3_c18pos_4.mzML Peak height,PB2_c18pos_3.mzML Peak height,QC11_c18pos_61.mzML Peak height,QC14_c18pos_79.mzML Peak height,QC9_c18pos_49.mzML Peak height,QC10_c18pos_55.mzML Peak height,QC6_c18pos_31.mzML Peak height,QC8_c18pos_43.mzML Peak height,QC5_c18pos_25.mzML Peak height,QC15_c18pos_85.mzML Peak height,QC13_c18pos_73.mzML Peak height,QC7_c18pos_37.mzML Peak height,QC12_c18pos_67.mzML Peak height,QC4_c18pos_19.mzML Peak height,QC1_c18pos_1.mzML Peak height,
11098,619.5268271804539,10.907774,16515.977,13614.955,14865.923,15966.906,13406.784,14662.178,16076.181,15230.139,13084.828,14769.114,13343.383,15299.592,16322.576,15616.413,14600.8,17357.281,15353.695,14327.837,14128.151,14939.111,15332.245,16239.798,14614.982,8778.751,14980.967,14834.232,14050.702,15426.124,13386.677,14130.033,13682.762,15139.989,14464.115,13314.837,14105.062,15853.17,13815.444,14581.534,13863.719,14817.289,14700.536,14930.952,14921.754,15898.858,14558.618,15535.239,16469.154,15287.449,14680.001,13323.227,13630.556,13542.985,13948.44,13081.885,15690.127,21349.041,13143.496,15484.0205,14052.516,14845.953,15829.475,15632.202,15142.374,13938.939,14878.485,14621.678,15422.43,15537.519,15482.456,15475.443,13509.033,13364.548,14620.94,17737.049,19362.398,13624.437,14541.128,13169.759,13535.544,16651.424,15373.444,14807.04,14020.544,13679.736,14535.471,13297.246,14056.969,15478.102,
11104,780.704868960327,10.916482,3624.5276,3817.0269,4760.4976,4323.374,4952.6177,3867.9944,3910.0505,3141.4438,3788.1943,3583.2844,3328.6501,4682.6646,4489.3696,4280.053,4311.4897,4011.6426,3630.0002,5077.0117,4812.0747,7172.634,4652.075,4787.7314,8759.863,9375.193,3279.2722,4587.3213,3317.038,3767.807,11377.32,3520.8662,4238.0195,5120.1377,3845.776,4162.8394,4190.921,3705.0962,4683.286,3673.7783,20517.213,3943.225,3751.9517,5673.804,5438.7085,8414.43,3683.0046,3995.3374,4713.559,6377.468,3701.6226,6695.808,6178.2256,4063.139,4454.2637,7976.085,5190.0444,3763.456,4441.9395,5628.854,6877.635,3623.8,5212.046,4026.125,3641.8923,33993.125,7268.5967,10405.439,16240.533,4360.879,4282.4756,6369.8525,7142.355,6692.959,5300.3755,3496.6384,3311.143,5387.077,4628.3267,5750.135,5070.4883,6040.122,5239.715,5589.2773,5393.5757,5695.1743,6520.4287,4673.965,4967.4736,5746.752,
11105,1063.799059835953,10.935822,0,1001.07227,0,0,1079.0507,0,0,0,0,0,0,0,0,0,0,1117.4583,0,0,1089.6947,0,0,0,0,0,0,1019.6387,1012.6356,0,0,1303.3823,0,0,0,0,0,1256.0459,0,0,0,1819.7893,1072.2097,0,1011.55536,0,0,0,1030.0492,0,1035.0532,0,0,0,1179.1488,0,0,0,0,0,1114.1003,0,1155.0419,1305.5127,0,1007.16064,0,0,1315.1162,0,0,1243.7787,1261.1274,0,1048.7755,0,0,0,0,0,0,0,0,1265.0411,0,1077.9004,0,0,1000.4717,8687.805,
11106,746.6283735193396,10.8894005,1612.8896,1907.3937,1470.0687,1412.8387,1642.8431,1945.773,1701.4176,1547.7407,1353.3025,1611.1213,1652.0417,1531.8223,2101.8877,2075.709,1969.1349,1690.284,2015.6174,1888.9503,1780.2422,1574.007,1667.31,2273.5625,2582.3633,2234.9448,1884.0096,1366.9064,1665.6064,1964.2552,2196.282,1844.9763,1401.6262,2025.2688,1942.132,1589.6238,2268.6797,2017.4028,1686.2267,1834.4473,1713.588,1623.7338,2074.2512,2205.802,1643.2576,1774.5691,2126.9187,1957.7029,2390.9438,1877.9846,1708.2,1731.9626,13774.367,1785.0079,1611.2085,1916.5349,1997.4946,2207.019,1697.4884,1728.3275,1686.0032,1492.0204,19504.451,1943.4576,1993.5493,1786.1912,1991.6428,1881.245,1361.6448,1830.4017,1803.0026,1852.4656,1810.4945,2137.1877,2373.5762,2365.117,2493.364,1623.9792,2343.515,2112.4893,1717.8894,2104.5852,1811.3615,2125.4465,1567.7466,1654.1025,1929.5,2120.927,1666.0667,1963.6587,
11107,752.6942338920927,10.915221,3463.298,2811.077,2855.5273,3451.6082,2769.5928,3341.0894,2780.6484,2804.9192,2665.0828,3350.93,2361.85,2413.4646,3427.3425,2787.241,3498.0425,3267.1384,3215.3613,3527.0046,3391.3005,2827.6702,2555.7676,3795.0,3050.638,140113.28,3319.6016,3149.2454,3587.3308,3236.042,3936.4475,2390.341,2956.738,3076.2493,3468.307,3059.0015,3776.6438,3773.6675,3093.1023,3374.2097,3190.2732,3074.5183,3511.64,3024.4878,3833.8403,3001.6118,3507.758,3691.1865,3217.427,3737.4143,3127.9658,2926.2908,2839.0073,2728.956,3073.8843,2892.2798,3741.1143,3609.197,3277.4612,3570.7944,3563.9287,2928.218,3920.986,2406.4434,2665.6091,3968.421,3803.5728,3374.025,3662.5833,3622.2837,2990.187,3692.6292,3411.4463,5584.831,5374.1177,1141.5437,2579.4753,5573.4473,5443.507,4790.267,5213.0415,5601.0034,5093.0244,4887.7812,4831.003,5212.2236,6472.6826,5763.0454,4733.175,4909.776,
11110,710.6283166028326,10.919768,5947.5317,4229.277,5825.694,3958.1956,8616.299,4324.1675,4573.8774,4144.745,5679.1426,4476.019,3886.0857,4845.618,5040.3374,6462.4414,5036.117,4130.5063,4536.9326,9398.471,6619.037,10114.468,4961.6006,4567.0063,15770.341,7917.618,4588.512,6882.925,4608.0786,4515.251,18183.098,4527.9116,5595.1104,6580.06,5349.604,5033.3496,4838.2676,4539.6304,6656.42,3931.5542,36942.684,5511.6064,4654.553,8942.951,9349.408,13767.097,5218.3496,4756.241,7170.54,7817.5854,5792.446,10505.802,10030.88,4890.3613,3837.1104,10707.076,9148.9795,4897.0015,6082.672,7674.9014,10484.562,4494.9463,8603.371,7206.1357,4735.29,62912.89,7773.9824,21283.998,37092.934,5437.0957,5867.291,10057.711,9107.228,8721.708,8362.722,4683.0776,3976.6482,7565.3164,7048.3765,8852.521,8030.184,8427.713,9265.566,9387.766,8590.775,7336.8374,7876.06,6883.348,8670.529,9207.0625,
11117,1064.800638626976,10.931676,0,0,1076.2727,0,0,0,0,0,1008.7366,0,1042.6525,0,1193.6981,0,0,0,0,0,0,1103.0876,1457.9901,1104.6235,1097.2732,0,0,0,1109.5063,1036.7755,1126.4,1080.449,0,0,0,0,1229.0862,0,0,1001.509,1211.2858,0,0,1256.8721,1282.2609,1148.0549,1204.6337,1020.3189,1072.4203,1018.1739,0,0,0,0,0,0,0,1196.3973,0,0,0,0,0,1322.5021,1258.8204,1219.6864,0,1058.61,0,0,1065.528,1035.7811,1186.7233,0,1112.6458,1181.2601,0,1124.5365,0,1058.0818,1157.004,1059.0615,0,1006.67035,1033.4867,0,1031.6133,0,1049.2727,9377.96,
11118,856.7384467746814,10.889274,2856.667,2848.1047,4041.0,2751.0251,3970.6667,4188.119,2458.3777,3248.307,3134.2148,2552.691,2817.1226,4085.1326,2967.6157,6239.526,3236.0679,3551.0989,3224.5999,3051.6448,3524.9868,4291.549,4533.7305,2559.7173,3987.3728,11789.53,4923.15,4811.7607,4034.5388,3020.0325,3579.4224,3334.9846,4305.141,2598.1213,4412.024,3940.0474,3094.9753,3794.8677,3342.1135,3381.6729,5499.1523,3655.4976,3466.8025,3418.127,2920.037,3092.8574,4410.616,4030.8274,3202.6,3234.3481,3152.4153,2753.3818,9654.743,3641.1052,3794.9858,3210.649,3923.1414,3173.5823,3705.8403,4158.241,4209.0005,3685.984,13406.803,2874.2188,3898.122,5681.496,3098.8928,2911.7605,6041.041,3417.9075,2523.2815,2489.3718,4904.395,3728.4468,2880.0317,3614.61,3798.2166,3481.8528,2834.3184,3919.5,3169.2183,4293.496,3880.882,3329.2998,2819.522,3140.9177,3077.2156,3658.8826,3951.338,2928.4229,
11120,916.7938461836303,10.947989,2982.9521,1750.99,2131.0542,1361.4141,1957.5806,2630.2585,2304.6018,2104.3813,1736.5215,1765.7397,1495.0146,1624.6328,1963.9478,2881.1345,2968.4678,1556.2223,1782.5392,3657.3088,1759.3419,3100.5425,1908.2805,3415.742,2057.1396,85320.9,1947.6769,2135.2295,1546.6263,2064.9844,3229.1855,1333.2148,2751.0063,1883.2185,1634.3857,2069.4014,2217.369,1920.0868,2060.9124,1813.8281,2938.32,1787.9706,1346.89,2615.5881,2722.4958,2271.401,2000.1553,1860.596,2433.4062,3605.062,2039.0042,2392.911,3073.0498,2404.2612,1738.0419,1932.1758,2834.5332,1670.88,2124.0024,1823.8115,2430.7168,1883.9563,2226.3076,2825.1272,1694.006,5496.3364,2474.6196,2986.3296,4481.237,2179.1995,2583.8513,2630.4194,2107.0234,3270.6975,3491.0674,1602.781,1601.0112,2886.3623,3172.9229,3501.7524,2748.0073,3105.4875,3168.608,2966.222,2919.5422,3047.3933,3336.5637,2992.8757,3725.2937,4232.0137,
11121,956.7899002548182,10.89963,1426.5686,1828.0669,1771.3588,1195.1136,1366.9196,1530.4059,1532.8347,1473.6276,1475.9839,1476.3273,1327.8186,1292.1163,1546.0386,2009.574,1739.8647,1443.6672,1176.667,1435.2563,1144.375,1948.457,1264.3685,1943.5444,1941.021,15237.506,1562.0555,1338.8102,1283.8582,1707.7975,1913.7045,1642.0851,1313.3184,1352.2046,1491.9803,1522.4932,1173.8779,2004.8529,1230.751,1464.6809,1613.5807,1739.6444,1107.7814,1500.5673,2146.0168,2435.4077,1439.2834,1607.2844,2280.0027,1717.5396,1618.9232,1385.7734,1151.4504,1415.3063,1356.3374,1391.1488,1927.4702,1480.2871,1295.6562,1447.651,1475.4851,1973.3799,1494.759,1791.905,1447.0376,1556.1353,1493.623,1361.4557,2252.2676,1289.7094,1647.6217,1780.4775,1793.3235,1788.382,1879.6068,1459.242,1449.3151,1700.5237,1516.3837,1963.769,1501.3334,1929.677,1614.0623,1957.76,1755.4094,1456.8289,1816.4062,1586.815,1792.2122,2192.1187,
