mz_rt,control,red,FC_red_div_ctrl,p,log2_FC_red_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1522.0815_7.299,3305.713276866933,4553.778784008037,1.3775480214436466,0.0394,0.46210261214745485,1.4045037781744258,1522.0815,7.299,3992.9814,1522.0815_7.299,1522.0815_7.299,1
1685.4637_11.522,7483.1714816801605,9420.462529850507,1.2588863629429183,0.0167,0.3321480598496894,1.7772835288524167,1685.4637,11.522,9873.009,1685.4637_11.522,1685.4637_11.522,1
330.2637_0.689,10749.32556966171,13245.122096220937,1.23218168529598,0.0483,0.30121499722600775,1.3160528692484879,330.2637,0.689,12511.971,330.2637_0.689,330.2637_0.689,1
383.1533_0.931,531.8159651117385,1029.4890827286572,1.9357995063430522,0.0227,0.9529295382616905,1.6439741428068773,383.1533,0.931,526.1514,383.1533_0.931,383.1533_0.931,1
536.437_10.971,14351.139031780705,59392.25850336807,4.138504851206825,7.34e-14,2.049109648558392,13.13430394008393,536.437,10.971,28154.94,Cluster_536.437_10.971,536.437_10.971;537.4409_10.971,2
744.5538_6.51,143464.40883508837,166158.16655346515,1.1581838861822735,0.042,0.21186432985720752,1.3767507096020994,744.5538,6.51,159055.33,744.5538_6.51,744.5538_6.51,1
774.5634_4.81,1628.6814325476241,1972.1276392160248,1.2108737778947805,0.00458,0.27604848559704753,2.339134521996131,774.5634,4.81,1943.6447,774.5634_4.81,774.5634_4.81,1
826.594_5.988,626.8332792183755,985.8580444852638,1.5727595792529891,0.00139,0.6532981492475047,2.856985199745905,826.594,5.988,1053.538,826.594_5.988,826.594_5.988,1
