mz_rt,control,red,FC_red_div_ctrl,p,log2_FC_red_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1226.4736_8.96,5084.567020961438,4036.721654152537,0.7939165001682357,0.00826,-0.33294081438045947,2.0830199526796176,1226.4736,8.96,4077.722,1226.4736_8.96,1226.4736_8.96,1
1329.2228_12.335,4832.262680121223,3928.9840462578773,0.813073358453956,0.038,-0.29854257148838015,1.4202164033831899,1329.2228,12.335,4372.673,1329.2228_12.335,1329.2228_12.335,1
1597.3162_8.956,21730.494847939517,16434.191512804395,0.7562732292938411,0.0436,-0.40302054386421643,1.360513510731414,1597.3162,8.956,18945.264,Cluster_1597.3162_8.956,1596.3127_8.957;1597.3162_8.956,2
1612.335_9.9,6048.620336820162,5031.122461280971,0.8317801715301405,0.03,-0.2657258013146111,1.5228787452803376,1612.335,9.9,5668.092,1612.335_9.9,1612.335_9.9,1
369.3508_10.879,11571.323134823095,10061.507304008474,0.8695208997948614,0.0209,-0.20170739033648638,1.679853713888946,369.3508,10.879,12153.961,369.3508_10.879,369.3508_10.879,1
