mz_rt,b1,b3,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1547.245_8.769,3111.223864376355,2456.0533464441123,0.7894171083495557,0.0262,-0.34114030904423215,1.5816987086802545,1547.245,8.769,2917.3198,1547.245_8.769,1547.245_8.769,1
1548.1302_6.87,10892.327596349813,8911.333813731968,0.8181294342192107,0.0349,-0.2895989884758043,1.45717457304082,1548.1302,6.87,10011.051,1548.1302_6.87,1548.1302_6.87,1
1548.6249_6.858,7419.251974545398,8697.407960625063,1.1722755866042658,0.00132,0.22931176830099204,2.87942606879415,1548.6249,6.858,8221,1548.6249_6.858,1548.6249_6.858,1
1550.1462_7.021,5793.971015442134,3914.862451926248,0.6756786393118516,0.0208,-0.5655908479457461,1.6819366650372385,1550.1462,7.021,4816.044,1550.1462_7.021,1550.1462_7.021,1
1550.14_6.908,6336.290646065275,4858.890904969581,0.7668352315856702,0.0105,-0.3830114729748344,1.978810700930062,1550.14,6.908,5534.4966,Cluster_1550.14_6.908,1525.1338_6.906;1550.14_6.908,2
1557.1328_6.71,5693.626210556007,6705.656370780367,1.177747910171562,0.0125,0.23603077205015702,1.9030899869919435,1557.1328,6.71,6042.471,1557.1328_6.71,1557.1328_6.71,1
1558.1201_7.783,7698.42756478237,9273.215263607306,1.2045596565757197,0.0137,0.2685058457263791,1.8632794328435933,1558.1201,7.783,7975.745,Cluster_1558.1201_7.783,1558.1201_7.783;1559.1256_7.781,2
1558.1357_6.713,6123.120597214609,7214.4562508784675,1.1782319384923277,0.00813,0.23662356597260012,2.089909454405932,1558.1357,6.713,6518.383,1558.1357_6.713,1558.1357_6.713,1
1560.0999_6.725,9156.185363934861,7207.335605723353,0.7871548378773765,0.0113,-0.3452806448395432,1.9469215565165803,1560.0999,6.725,8631.425,Cluster_1560.0999_6.725,1560.0999_6.725;1561.1011_6.726,2
1562.1488_7.418,7131.663131172984,8706.736236946337,1.2208563524107863,0.022,0.28789346088537837,1.6575773191777938,1562.1488,7.418,7449.899,1562.1488_7.418,1562.1488_7.418,1
1562.1493_7.418,6656.292298982295,8478.043728441771,1.2736886163695083,0.0122,0.34901261940916284,1.9136401693252518,1562.1493,7.418,7449.899,1562.1493_7.418,1562.1493_7.418,1
1563.1535_7.418,6863.760783513358,8782.920939983655,1.279607669468914,0.00974,0.35570154454309977,2.0114410431213843,1563.1535,7.418,7013.9478,1563.1535_7.418,1563.1535_7.418,1
1563.2185_8.966,19340.12681291002,22799.684819888054,1.1788797995196543,0.0211,0.23741662630976848,1.6757175447023074,1563.2185,8.966,20234.842,Cluster_1563.2185_8.966,1563.2185_8.966;1564.2222_8.965,2
1565.1377_6.892,4826710.400726121,1090060.5651333989,0.2258392309945532,0.036,-2.146631973501436,1.4436974992327127,1565.1377,6.892,1229758.4,1565.1377_6.892,1565.1377_6.892,1
1572.1304_7.394,2998.1357159933837,3727.634992475789,1.2433176298827746,0.0199,0.3141949082312202,1.7011469235902934,1572.1304,7.394,3456.18,1572.1304_7.394,1572.1304_7.394,1
1574.2638_8.923,13552.22974620091,10056.03365234858,0.7420206003493693,0.006,-0.4304688546594498,2.221848749616356,1574.2638,8.923,11068.217,Cluster_1574.2638_8.923,1573.2611_8.925;1574.2638_8.923,2
1577.6354_7.106,5139.5938297097555,4301.50799205636,0.8369353950094683,0.013,-0.25681183280078884,1.8860566476931633,1577.6354,7.106,5026.708,1577.6354_7.106,1577.6354_7.106,1
1580.1032_7.792,3221.5730407932087,3860.741425934436,1.1984025744714615,0.0165,0.2611126281860214,1.7825160557860937,1580.1032,7.792,3341.0042,1580.1032_7.792,1580.1032_7.792,1
1585.2008_8.971,7558.960186528999,8868.034877832239,1.1731818476350984,0.0153,0.2304266539014836,1.8153085691824011,1585.2008,8.971,8683.428,1585.2008_8.971,1585.2008_8.971,1
1586.2043_8.972,7715.570311633071,9323.579287823552,1.2084109030496453,0.00595,0.2731111061469552,2.2254830342714502,1586.2043,8.972,9292.398,1586.2043_8.972,1586.2043_8.972,1
1591.2114_7.764,5827.134768747809,7031.768336415187,1.2067282833628783,0.0157,0.27110086385183807,1.8041003475907662,1591.2114,7.764,5984.256,1591.2114_7.764,1591.2114_7.764,1
1592.2118_7.764,5555.8718184938225,6888.631921430861,1.2398831626209739,0.00696,0.31020417815326623,2.157390760389438,1592.2118,7.764,6078.282,1592.2118_7.764,1592.2118_7.764,1
1596.3093_9.895,4687.228736111122,3571.838753145908,0.7620363661000624,0.0304,-0.39206824685338737,1.5171264163912463,1596.3093,9.895,3767.729,1596.3093_9.895,1596.3093_9.895,1
1596.6247_6.715,4596.925011801219,5520.196885911966,1.2008455373408367,0.0196,0.2640505916399799,1.7077439286435239,1596.6247,6.715,5251.067,1596.6247_6.715,1596.6247_6.715,1
1597.1201_6.716,4819.238749338894,5588.948894707398,1.159716126426418,0.00244,0.2137717078386947,2.612610173661271,1597.1201,6.716,5115.0605,1597.1201_6.716,1597.1201_6.716,1
1597.3131_9.894,5021.773504232014,3650.7718501972136,0.7269885523750899,0.0255,-0.4599954481588866,1.5934598195660448,1597.3131,9.894,4084.5212,1597.3131_9.894,1597.3131_9.894,1
1598.1451_7.197,2589.4312949202927,3711.981571642802,1.4335122846953403,2.43e-4,0.5195542680197383,3.614393726401688,1598.1451,7.197,3094.0352,1598.1451_7.197,1598.1451_7.197,1
