mz_rt,control,tomato,FC_tom_div_ctrl,p,log2_FC_tom_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1685.4637_11.522,7483.1714816801605,8991.106231804308,1.2015101155727594,0.0413,0.26484879463941735,1.3840499483435988,1685.4637,11.522,9873.009,1685.4637_11.522,1685.4637_11.522,1
353.079_1.243,503.06862362013584,675.5032154297011,1.342765546713503,0.0455,0.42520742530028244,1.3419886033428876,353.079,1.243,507.1274,353.079_1.243,353.079_1.243,1
383.1533_0.931,531.8159651117385,850.2509669034494,1.5987691658049517,0.0198,0.6769616540223294,1.7033348097384688,383.1533,0.931,526.1514,383.1533_0.931,383.1533_0.931,1
536.437_10.971,14351.139031780705,38928.845889989745,2.712596247850538,1.57e-6,1.4396743279103708,5.804100347590766,536.437,10.971,28154.94,Cluster_536.437_10.971,536.437_10.971;537.4409_10.971,2
536.437_11.201,14766.548774337467,36093.69838059198,2.4442880277698067,0.00169,1.2894142981482086,2.7721132953863266,536.437,11.201,24362.299,Cluster_536.437_11.201,536.437_11.201;537.4408_11.2,2
826.594_5.988,626.8332792183755,906.725272097617,1.4465174427692327,0.0108,0.5325837200493636,1.9665762445130504,826.594,5.988,1053.538,826.594_5.988,826.594_5.988,1
