mz_rt,beta,control,FC_beta_div_ctrl,p,log2_FC_beta_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
536.437_10.971,18465.433276611417,14351.139031780705,1.2866876444942505,0.00654,0.36366186829637775,2.184422251675733,536.437,10.971,28154.94,Cluster_536.437_10.971,536.437_10.971;537.4409_10.971,2
536.437_11.201,55914.52281913901,14766.548774337467,3.7865667647617096,1.47e-6,1.9208903665394028,5.8326826652518236,536.437,11.201,24362.299,Cluster_536.437_11.201,536.437_11.201;537.4408_11.2,2
774.5404_8.982,46525.631095675664,40060.46304361584,1.16138525520838,0.00683,0.215846623006535,2.1655792963184672,774.5404,8.982,41224.734,774.5404_8.982,774.5404_8.982,1
796.5222_9.007,6881.279748410242,5890.240098045113,1.168251146620329,0.0484,0.22435045318614977,1.3151546383555874,796.5222,9.007,6373.584,796.5222_9.007,796.5222_9.007,1
