mz_rt,beta,control,FC_beta_div_ctrl,p,log2_FC_beta_div_ctrl,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
741.551_6.153,7385.175516669329,8803.867881687353,0.8388557865607001,0.0234,-0.2535052864831092,1.630784142589857,741.551,6.153,8371.756,741.551_6.153,741.551_6.153,1
751.5717_6.812,41973.11038969774,51905.966393717434,0.8086374901745025,0.0476,-0.30643500327994966,1.322393047279507,751.5717,6.812,44173.656,Cluster_751.5717_6.812,751.5717_6.812;752.5739_6.808,2
781.62_7.043,9435.920134728816,12202.286736064392,0.7732911329513789,0.00711,-0.3709164246049291,2.148130399270234,781.62,7.043,10263.284,781.62_7.043,781.62_7.043,1
785.6542_8.953,586229.5089966786,687862.0491409609,0.8522486590571373,0.0345,-0.23065367048182403,1.4621809049267258,785.6542,8.953,693477.56,Cluster_785.6542_8.953,1570.2972_8.954;1571.3005_8.952;785.6542_8.953,3
799.6692_9.585,205616.54379417704,251122.47561951255,0.8187898884276543,0.0172,-0.2884348088491389,1.764471553092451,799.6692,9.585,228261.52,Cluster_799.6692_9.585,799.6692_9.585;821.6503_9.585,2
801.686_10.409,1134702.422339069,1338514.1721854927,0.8477328413238652,0.0375,-0.23831841644761742,1.4259687322722812,801.686,10.409,1277952.6,Cluster_801.686_10.409,1602.3605_10.41;1603.364_10.411;801.686_10.409;918.7994_10.407,4
809.6525_8.065,66220.06625778745,86422.37456222659,0.7662375234796066,0.0139,-0.38413641706031165,1.856985199745905,809.6525,8.065,68933.03,809.6525_8.065,809.6525_8.065,1
810.6564_8.03,42932.451495506124,52670.861164115086,0.8151082125225667,0.0236,-0.29493649283660583,1.6270879970298935,810.6564,8.03,43775.035,810.6564_8.03,810.6564_8.03,1
811.6703_8.961,1114121.844065021,1376371.1635342871,0.8094632273493333,0.0352,-0.3049625522542307,1.453457336521869,811.6703,8.961,1178470.8,Cluster_811.6703_8.961,1622.3273_8.96;1623.3314_8.96;811.6703_8.961,3
813.6854_10.226,475463.32664423203,569451.7703961722,0.8349492465594556,0.0347,-0.26023959066878516,1.4596705252091262,813.6854,10.226,571533.44,Cluster_813.6854_10.226,1626.3599_10.225;1627.3632_10.227;813.6854_10.226,3
824.6527_9.167,4882.1711075909325,6018.840728190087,0.8111480811785893,0.0107,-0.3019627815787402,1.9706162223147903,824.6527,9.167,5112.047,824.6527_9.167,824.6527_9.167,1
824.6537_9.596,9390.162907876032,11120.732664113559,0.8443834764752461,0.0213,-0.2440297476571285,1.6716203965612624,824.6537,9.596,10490.197,824.6537_9.596,824.6537_9.596,1
827.6999_10.502,49414.74809622108,61430.47445407918,0.804401211863663,0.0456,-0.31401283976277,1.341035157335565,827.6999,10.502,53090.023,827.6999_10.502,827.6999_10.502,1
830.6471_9.551,4444.255962302511,5179.117427249331,0.8581106771048613,0.0281,-0.22076435973511033,1.5512936800949202,830.6471,9.551,4817.182,830.6471_9.551,830.6471_9.551,1
862.6247_6.471,33172.57883559879,38239.1759618759,0.8675024500703555,0.0403,-0.20506026261506868,1.3946949538588904,862.6247,6.471,37543.35,862.6247_6.471,862.6247_6.471,1
928.7831_8.964,8968.93201876365,10584.480198460704,0.8473663184771225,0.0275,-0.23894230998039573,1.5606673061697374,928.7831,8.964,9360.764,928.7831_8.964,928.7831_8.964,1
946.718_9.767,4846.430312688967,5851.992176297505,0.8281675994576011,0.0299,-0.2720053338799064,1.5243288116755704,946.718,9.767,5625.15,946.718_9.767,946.718_9.767,1
970.718_8.858,4186.167752344539,5208.44036099229,0.803727692400227,0.0389,-0.31522130413907684,1.4100503986742923,970.718,8.858,4864.974,970.718_8.858,970.718_8.858,1
