mz_rt,beta,red,FC_beta_div_red,p,log2_FC_beta_div_red,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1250.8236_3.081,5068.73094439201,4373.068184217117,1.1590788734293274,0.0415,0.2129787427323383,1.3819519032879073,1250.8236,3.081,4464.637,1250.8236_3.081,1250.8236_3.081,1
1625.2172_8.052,15252.502960548612,12623.44933049086,1.208267452201634,0.0303,0.2729398331872494,1.518557371497695,1625.2172,8.052,13965.784,1625.2172_8.052,1625.2172_8.052,1
536.437_11.201,55914.52281913901,16272.873942044946,3.436057024608922,4.82e-8,1.7807539795607275,7.31695296176115,536.437,11.201,24362.299,Cluster_536.437_11.201,536.437_11.201;537.4408_11.2,2
939.7152_7.328,6600.065778456122,5702.31696467331,1.1574357965971547,0.0465,0.21093216886361674,1.332547047110046,939.7152,7.328,6396.2227,939.7152_7.328,939.7152_7.328,1
